Bulgaria,10000,60000.10879,100000.3781,150000.904,234601.9775,430004.619,605007.2317,716654.0728,943950.0868,1412178.334,1545501.266,2083090.968,2570191.201,3011477.437,3394203.3,3464629.684,42.475932,25.474522,
Burkina Faso,,105.5818327,2111.858378,5278.735305,7383.795859,9476.245219,19950.74978,26160.06094,50024.56553,55199.66309,66720.6348,92515.77814,112958.4525,142740.3736,180624.6127,230561.996,12.802031,-1.566205,
Burundi,0,49.3426295,493.2484374,985.9775587,2463.476332,4924.084088,6889.713124,7869.367063,13764.59892,24572.22989,39313.07788,49150.85726,53954.467,64341.4185,155246.207,176039.829,-3.431481,29.910427,
Cambodia,,,685.6773972,1956.733726,3908.093538,5852.884028,9737.776089,29156.50078,33937.10811,39639.49369,42386.49173,63302.55099,66982.2993,70495.4844,74082.8859,178142.013,12.517346,104.96197,
Cameroon,,,990.3964379,1979.30559,19778.38193,39528.06399,44438.30338,59212.11629,98622.85352,167545.9512,246216.1579,364127.1287,537655.6446,637798.452,736321.0752,783955.56,5.375196,12.356667,
Canada,1220000,1999829.101,4499135.148,7497596.156,10994823.89,15732358.25,18642276.07,19267447.73,20292696.8,21068712.44,23134293.76,23622656.07,24139408.49,25562540.72,27041384.74,27757539.89,58.473099,-98.310674,
Cape Verde,,,994.9396737,1991.174037,4979.549509,7968.417048,11952.30849,15930.82123,19895.81351,24827.45709,28723.32533,32564.77441,40009.85687,97474.2,122905.25,148799.7,15.938534,-23.617223,
Cayman Islands,1294.945322,,,,,,,,,,19879.81135,23901.84,28433.08,33729.95,35967.135,37111.8,19.316749,-81.25917,
Central African Rep.,,199.2604474,497.2013376,992.353567,1485.397877,1976.44249,2958.784336,4921.992109,5895.927518,8829.450907,10775.77774,12718.737,15637.47665,42379.61,77726.304,101224.173,6.995676,20.914284,
Chad,,,49.02422599,328.2409939,979.2054827,2935.952574,3912.643841,14665.94257,29320.70243,34196.42943,39070.96726,58593.16037,87872.76326,126779.7678,164056.335,190862.536,15.162517,18.716795,
Chile,49997.90424,99997.7377,156872.9281,249999.3018,625014.6492,2559690.12,2980402.2,3488262.011,4065562.38,4545719.353,5082119.652,5681323.213,5971338.186,6264756.189,6578825.956,7701159.6,-35.639464,-71.362306,
China,60149.50994,160399.1262,400999.741,2105102.278,8919464.192,22538411.74,33732185.84,59097714.83,80190592.55,94940305.78,111449553.6,138335407.2,211437109.6,300190268.4,385788649,460077957.1,32.320412,104.187418,
Colombia,68549.33023,122478.2452,207959.6138,432910.8367,663857.7811,877807.0837,1153741.752,1889594.256,3083539.288,3865021.81,4737587.799,6703780.951,9668807.286,11521480.19,13696213.2,16897616.97,3.370786,-72.963384,
Comoros,,,0,202.1378162,811.7315435,1528.456676,2559.025569,3291.320451,5167.771857,8307.422248,20860.10028,21991.78939,23230.90276,24264.0354,25728.45182,37472.25,-11.608267,43.35648,
Costa Rica,14459.46336,29917.19793,59839.58636,99737.97497,149594.3018,227322.3564,382660.9077,812345.9647,845967.4375,880679.9824,951087.4491,1099836.82,1264540.672,1460193.84,1576018.207,1700493.755,10.183095,-84.254232,
Croatia,24000,40000.28346,80001.17613,150003.2405,200005.1543,299387.3758,518011.3274,793163.9088,1013873.543,1375347.25,1472074.16,1683953.822,1834132.328,2235703.822,2481993.173,2656088.656,45.16266,16.337486,
Cuba,9.991451974,3498.161974,7498.963735,25008.16117,34831.15122,60094.60412,120286.1558,421379.2423,587442.9555,944634.5653,1095945.087,1257142.926,1317309.51,1457937.507,1613934.592,1790018.661,22.093211,-79.540489,
Cyprus,3508.270767,5880.154276,38999.80895,80731.34098,104974.3533,143903.2198,180938.9808,277500.3168,300338.5206,343647.1698,338783.5922,375595.8576,433396.1079,455679.1231,543164.6013,584862.9355,34.64009,32.987629,
